ACCOUNT,CONTA
Switch Portal,Mudar de Portal
Tardy,Atraso
Term,Período Letivo (Bimestre/Semestre)
Term Reporting,Fechamento de Período
Terms,Períodos Letivos
Time,Hora
"Timetable load, rooms, and transport fill.","Carga horária, salas e ocupação."
Today,Hoje
Total Credits,Total de Créditos
Transcript,Histórico Escolar
Type,Tipo
Under Review,Em Análise
Unit Plan,Plano de Unidade
Update Gradebook,Lançar Notas / Diário
Vida Acadêmica,Vida Acadêmica
Vida Acadêmica e Currículo,Vida Acadêmica e Currículo
Website - Settings,Configurações de Website -
"Which rooms are free, over or under-...",Consulte salas livres e ocupadas...
Zero Lost Lead,Captação sem Perdas (Leads)
