% Late:,% Atraso:
% Present:,% Presença:
0 grouped row(s),0 registro(s) agrupado(s)
Currículo e Planos de Aula,Currículo e Planos de Aula
Dashboard,Painel de Controle
Date,Data
Date of Birth,Data de Nascimento
Default Code,Código Padrão
Demographics Overview,Visão Demográfica
Department,Departamento Escolar
Description,Descrição
Designation,Cargo / Função Escolar
Details,Detalhes
Dietary Requirement,Restrição Alimentar
Disabled,Desabilitado
Distinct students:,Alunos distintos:
ECA,Atividades Extracurriculares
ERPZ Educacional,ERPZ Educacional
Email,E-mail
Emergency Contact,Contato de Emergência
Emergency Phone,Telefone de Emergência
Employee,Colaborador / Funcionário
Enabled,Habilitado
End Time,Horário de Término
Enrolled,Matriculado
Enrollment & Census,Matrículas e Censo Escolar
Enrollment Analytics,Análise de Matrículas
Enrollment Date,Data da Matrícula
Enrollment Gaps Report,Relatório de Enrollment Gaps
Enrollment Report,Relatório de Enrollment
Enrollment Trend Report,Relatório de Enrollment Trend
Exclude from Report,Relatório de Exclude from
Excused,Falta Justificada
Expand,Expandir
Expenses,Reembolsos e Despesas
Export CSV,Exportar CSV
Family Snapshot,Resumo da Família
Family Timeline,Linha do Tempo da Família
"Family engagement, events, and surveys.","Engajamento familiar, visitas e pesquisas."
Father,Pai
File Management Settings,Configurações de File Management
Filter List,Lista de Filter
Finance,Financeiro da Família
First Name,Primeiro Nome
Forms & Signatures,Formulários e Assinaturas
Full Name,Nome Completo
Gender,Gênero
Go to Guardian Portal,Ir para o Portal da Família
Go to Staff Portal,Ir para o Portal do Colaborador
Go to Student Portal,Ir para o Portal do Aluno
Governance,Governança e Políticas
"Grades, assessments, and intervention impact.","Notas, avaliações e suporte pedagógico."
Graduation Date,Data de Conclusão / Formatura
Guardian,Pai / Responsável Legal
Guardian Email,E-mail do Responsável
Guardian Home,Início da Família
Guardian Hub,Portal da Família
Guardian Portal,Portal da Família
Guardians,Pais e Responsáveis
HR Settings,Configurações de HR
Health,Saúde Escolar e Enfermaria
Health Incident,Atendimento / Incidente de Saúde
Hide tips,Ocultar dicas
Hub,Portal do Aluno e Professor
Ifitwala,ERPZ Educacional
Immunization Record,Carteira de Vacinação
Include in Term Report,Relatório de Include in Term
Inquiries,Interesses e Consultas
Inquiry,Interesse / Pré-Inscrição
Insights & Dashboards,Indicadores e Painéis
Institutional Policy,Política Institucional
Instructor,Professor / Instrutor
Instructors,Professores e Instrutores
Keep remarks factual and short.,Mantenha as observações curtas e objetivas.
Last Name,Sobrenome
Late,Atraso
Late rows (present):,Atrasos (presença):
Learning Workspace,Espaço de Aprendizagem
Leave Block List,Lista de Leave Block
Legal Guardian,Responsável Legal
Loading roster…,Carregando lista de alunos…
Loading…,Carregando…
Logout,Sair
Logs & Referrals Settings,Configurações de Logs & Referrals
MENU,MENU
Maximum Load,Carga Horária Máxima
Medication Administration,Administração de Medicamentos
Meeting Date,Data da Aula
Middle Name,Nome do Meio
Minimum Load,Carga Horária Mínima
Mobile Number,Telefone / Celular
Mother,Mãe
Move between course overview and active class work without losing context.,Navegue entre a visão geral das disciplinas e as atividades sem perder o contexto.
My Courses,Minhas Disciplinas
My Growth,Meu Desenvolvimento Profissional
Nationality,Nacionalidade
Next,Próxima
No Attendance Codes are flagged with 'Show in Reports'.,Nenhum código de presença está marcado como 'Exibir em Relatórios'.
No attendance ledger rows match these filters.,Nenhum registro de chamada encontrado para os filtros selecionados.
No student profile linked to this login yet.,Nenhum perfil de aluno vinculado a este login ainda.
No students found for this group.,Nenhum aluno encontrado nesta turma.
Notes,Observações
Nothing scheduled for this range. Enjoy the calm or adjust the view to a different week.,Nada agendado para este período. Aproveite o momento ou ajuste a visualização para outra semana.
Nothing urgent right now.,Nada urgente no momento.
Open Class Hub,Abrir Sala de Aula
Open selected course,Abrir disciplina selecionada
Open the class spaces that are ready and see what is still waiting on release.,Acesse as salas de aula virtuais disponíveis e veja as que aguardam liberação.
Open the governed curriculum backb...,Acesse a grade curricular aprovada...
Operations & Attendance,Operações e Frequência
Organization,Organização / Rede de Ensino
Organizational Chart,Organograma da Escola
Overview,Visão Geral
Page 1 of 1,Página 1 de 1
Painel Acadêmico,Painel Acadêmico
Painel de Admissões,Painel de Admissões
Passing Grade,Nota de Aprovação
"Pick a group and a meeting day, then record attendance.",Selecione a turma e o dia da aula para registrar a presença dos alunos.
Policies,Políticas e Regulamentos
Policy Acknowledgement,Termo de Aceite de Política
Policy Acknowledgments,Termos de Ciência de Políticas
Policy Library,Biblioteca de Regulamentos
Policy Version,Versão da Política
Portal Settings,Configurações de Portal
Portfolio & Journal,Portfólio e Diário
Portfolio Journal Settings,Configurações de Portfolio Journal
Present,Presente
Present rows:,Presenças registradas:
Previous,Anterior
Profile,Meu Perfil
Program,Programa Educacional
Program Enrollment,Matrícula no Programa
Program Enrollment Request,Solicitação de Matrícula
Program Offering,Oferta de Programa
Program Offering Selection Window,Janela de Seleção de Disciplinas
Programs,Programas Educacionais
Public Site,Portal Público
Quick Actions,Ações Ráridas
Quick Links,Atalhos Rápidos
ROWS PER PAGE,LINHAS POR PÁGINA
Raw records:,Registros brutos:
"Record a note, concern, or follow-up","Registrar observação, ocorrência ou acompanhamento"
Referral Case,Encaminhamento Pedagógico / Apoio
Referral Settings,Configurações de Referral
"Referrals, caseloads, incidents, and follow-ups.","Encaminhamentos, orientações e atendimentos."
Rejected,Não Aprovado
Relation,Parentesco / Relação
Reload,Recarregar
Remark guidelines,Diretrizes para observações
Remark tips,Dicas de observação
Remarks,Comentários
Report Card,Boletim Escolar
Reports,Relatórios
Reserva de Atividade,Reserva de Atividades
Return to daily routing,Retornar à rotina diária
Review and acknowledge guardian policies in scope.,Consulte e assine os regulamentos escolares aplicáveis.
Review daily attendance across all children.,Consulte a presença e faltas diárias de todos os filhos.
Review frozen results and calculation ...,Revise boletins e médias calculadas...
Review guardian forms and submit pending approvals.,Revise formulários pendentes e envie autorizações da família.
Review upcoming classes and day summaries.,Veja as próximas aulas e o resumo das atividades diárias.
Room Occupancy,Ocupação de Ambientes
Room Utilization,Ocupação de Salas
Roster,Lista de Alunos da Turma
Roster for {0},Lista de Alunos para {0}
"Row-level attendance evidence for follow-up, compliance, and code integrity.","Evidências de presença por registro para acompanhamento, conformidade e integridade."
Rows Per Page,Linhas por Página
SLICE SUMMARY,RESUMO DO RECORTE
SWITCH PORTAL,MUDAR DE PORTAL
Safeguarding signals and audit readiness.,"Sinais de proteção, segurança e auditoria."
Saved,Salvo
Scheduling & Capacity,Horários e Capacidade
School,Escola / Unidade
School Calendar,Calendário Escolar
School Event,Evento Escolar
School HR,Recursos Humanos Escolar
School Schedule,Grade e Quadro de Horários
School Settings,Parâmetros Pedagógicos
School Setup,Estrutura e Instalações
School Site,Portal e Site Institucional
See invoices and payment history for your family.,"Consulte mensalidades, faturas e histórico de pagamentos."
Select a meeting day from the calendar.,Selecione um dia de aula no calendário.
Select a student group to begin.,Selecione uma turma para iniciar a chamada.
Set a default organization or ask an administrator to grant your organization scope before creating communications.,Defina a organização padrão ou solicite ao administrador o escopo de organização antes de criar comunicados.
Set a default organization or ask an administrator...,Defina a organização padrão ou solicite ao administrador...
Settings,Configurações
Showcase Portfolio,Portfólio de Trabalhos
Slice Summary,Resumo do Recorte
Something went wrong,Ocorreu um erro
Staff & HR,Equipe e RH Escolar
Staff Home,Início do Colaborador
Staff Hub,Portal do Colaborador
Staff Portal,Portal do Colaborador
Start Time,Horário de Início
Status,Status
Stick to today's context (date + block).,Foque no contexto da aula e do horário de hoje.
Student,Aluno
Student Applicant,Candidato / Inscrição
Student Applicants,Candidatos Inscritos
Student Attendance,Frequência Escolar / Chamada
Student Attendance Code,Código de Presença / Falta
Student Attendance Summary,Resumo de Frequência do Aluno
Student Email,E-mail Institucional do Aluno
Student Group,Turma / Grupo
Student Group Instructor,Professor da Turma
Student Group Student,Aluno na Turma
Student Groups,Turmas e Grupos
Student Guardian,Vínculo Aluno-Responsável
Student Home,Início do Aluno
Student Hub,Portal do Aluno
Student Log,Ocorrências do Aluno
Student Log Analytics,Análise de Ocorrências
Student Log Report,Relatório de Ocorrência / Registro do Aluno
Student Log Type,Tipo de Ocorrência Escolar
Student Logs Report,Relatório de Student Logs
Student Medical Record,Prontuário Médico do Aluno
Student Overview,Visão Geral do Aluno
Student Portal,Portal do Aluno
Student Portfolio,Portfólio do Aluno
Student Term Report,Boletim Escolar / Avaliação Periódica
Student Wellbeing,Bem-Estar do Aluno
"Student body profile, admissions, and retention.","Perfil discente, admissões e retenção."
Students,Alunos
Subject,Matéria / Disciplina
Suspended,Suspenso
Switch Portal,Mudar de Portal
Switch to Desk,Ir para o Desk
Switch to Desk ,Ir para o Desk
Tardy,Atraso
Term,Período Letivo (Bimestre/Semestre)
Term Reporting,Fechamento de Período
Terms,Períodos Letivos
This account is not linked to a Guardian record.,Esta conta de usuário não está vinculada ao cadastro de um Responsável.
Time,Hora
"Timetable load, rooms, and transport fill.","Carga horária, salas e ocupação."
Today,Hoje
Today and the next 7 school days for your family.,Hoje e os próximos 7 dias letivos da sua família.
Total Credits,Total de Créditos
Total rows:,Total de registros:
Track visible logs and published results across children.,"Acompanhe registros, pareceres e boletins publicados dos filhos."
Transcript,Histórico Escolar
Type,Tipo
Unable to load guardian home snapshot.,Não foi possível carregar o resumo da família.
Unable to load guardian home snapshot. This account is not linked to a Guardian record.,Não foi possível carregar o resumo da família. Esta conta não está vinculada a um cadastro de Responsável.
Under Review,Em Análise
Unit Plan,Plano de Unidade
Unread communications,Comunicados não lidos
Unread student logs,Ocorrências não lidas
Upcoming assessments,Avaliações agendadas
Upcoming due tasks,Tarefas com entrega próxima
Update Gradebook,Lançar Notas / Diário
Vida Acadêmica,Vida Acadêmica
Vida Acadêmica e Currículo,Vida Acadêmica e Currículo
View approved showcase evidence by child.,"Visualize produções, projetos e evidências aprovadas de cada filho."
Website - Settings,Configurações de Website -
"Which rooms are free, over or under-...",Consulte salas livres e ocupadas...
Whole Day,Dia Inteiro
YOUR FOCUS,SEU FOCO
Your Focus,Seu Foco
Zero Lost Lead,Captação sem Perdas (Leads)
{0} grouped row(s),{0} registro(s) agrupado(s)
